Fecha,Motivo,ENTERAS,ARANDANOS,FRUTILLAS,MORA,CRUMBLE,MIX,MANGO,PIÑA,MARACUYA C/P,MARACUYA S/P,EMPANADA QUESO,MELÓN,PULP FRAMBU,PULPA FRUTI,PULPA PIÑA,PULPA MANGO,PULPA CHIRIMOYA,PULPA LÚCUMA,J DE LIMÓN,SOP NORMAL,SOP COCTEL
02/01/23,,190,51,50,27,80,35,,,,,,,,,,,,,,,
03-01,Mix,-5,-5,-5,-5,,20,,,,,,,,,,,,,,,
05/01,carga,140,24,36,24,,40,,,,,,,,,,,,,,,
11-01,Carga,110,12,24,36,30,10,,,,,,,,,,,,,,,
19-01,Carga ,200,36,36,36,50,10,,,,,,,,,,,,,,,
26-01,Carga,189,51,12,12,11,31,,,,,,,,,,,,,,,
02-02,Carga,210,,,,30,,,,,,,,,,,,,,,,
07-02,Carga,210,48,36,24,,10,,,,,,,,,,,,,,,
14-02,Mix,-5,-5,-5,-5,,20,,,,,,,,,,,,,,,
14-02,Carga,220,36,12,24,10,30,,,,,,,,,,,,,,,
22-02,Carga,129,60,47,12,,,,,,,,,,,,,,,,,
28-02,Carga ,217,36,24,12,3,10,,,,,,,,,,,,,,,
01-03,Mix ,-1,-1,-1,-1,,2,,,,,,,,,,,,,,,
02-03,Mix ,-2,-2,-2,-2,,11,,,,,,,,,,,,,,,
06-03,Carga,100,60,48,48,10,40,,,,,,,,,,,,,,,
13-03,Carga,143,36,12,12,17,40,,,,,,,,,,,,,,,
19-03,Carga,188,47,12,12,22,,,,,,,,,,,,,,,,
23-03,Carga ,40,25,12,12,60,,,,,,,,,,,,,,,,
02-04,Carga,122,72,48,12,8,40,,,,,,,,,,,,,,,
09-04,Carga,100,60,12,24,10,40,,,,,,,,,,,,,,,
16-04,Carga ,170,47,12,12,,30,,,,,,,,,,,,,,,
23-04,Carga,50,72,24,12,10,20,,,,,,,,,,,,,,,
26-04,Carga ,33,72,,9,7,,,,,,,,,,,,,,,,
07-05,Carga,96,84,36,24,8,60,,,,,,,,,,,,,,,
14-05,Carga,120,60,84,60,10,,,,,,,,,,,,,,,,
23-05,Carga,183,60,48,36,27,50,,,,,,,,,,,,,,,
30-05,Carga ,130,48,36,24,30,20,,,,,,,,,,,,,,,
03-06,Carga,150,36,36,,30,40,,,,,,,,,,,,,,,
12-06,Carga,78,72,48,,42,10,,,,,,,,,,,,,,,
17-06,Carga,158,60,12,12,22,20,,,,,,,,,,,,,,,
22-06,Carga ,50,36,12,,20,20,,,,,,,,,,,,,,,
25-06,Carga am,30,84,24,24,10,10,,,,,,,,,,,,,,,
26-06,Mix,-2,-2,-2,-2,,8,,,,,,,,,,,,,,,
28-06,Cuadratura,-10,,,,,,,,,,,,,,,,,,,,
30-06,Carga ,173,48,48,24,37,42,,,,,,,,,,,,,,,
03-07,Carga,159,72,36,,1,30,,,,,,,,,,,,,,,
09-07,Carga,140,24,,12,10,10,,,,,,,,,,,,,,,
15-07,Cuadratura,,,1,,1,,,,,,,,,,,,,,,,
16-07,Carga ,80,60,84,12,30,40,,,,,,,,,,,,,,,
22/07,mix,-2,-2,-2,-2,,8,,,,,,,,,,,,,,,
22/07,carga,106,24,60,12,24,50,,,,,,,,,,,,,,,
23/07,jugo,,,,-1,,,,,,,,,,,,,,,,,
25/07,carga,180,12,,12,50,10,,,,,,,,,,,,,,,
29-07,Carga,100,49.6,35,24,,10,,,,,,,,,,,,,,,
04-08,Carga,170,51.2,24,12,15,35,,,,,,,,,,,,,,,
06-08,Cuadratura,,-6,,,,,,,,,,,,,,,,,,,
07-08,Carga ,180,83.6,,12,10,50,,,,,,,,,,,,,,,
12-08,Carga,161,48,27,13,40,16,,,,,,,,,,,,,,,
19-08,Carga,200,49.6,61.6,,50,40,,,,,,,,,,,,,,,
26-08,Carga,130,49.6,48,32,50,50,,,,,,,,,,,,,,,
28-08,Carga,80,44,85.6,12,22,40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
02-09,Carga PM,170,36,61.6,10,30,40,40,40,20,24,11,,,,,,,,,,
06-09,Cuadratura,-3,-1,-3,,13,,,,,,,,,,,,,,,,
08-09,Carga PM ,130,48,138.4,,30,70,,,10,,,,,,,,,,,,
10-09,Mix,-1,-1,-1,-1,,4,,,,,,,,,,,,,,,
10-09,Carga PM,127,12,151,10,65,60,,10,,,,,,,,,,,,,
13-09,Carga PM,,60,178,,140,,13,27,,,,,,,,,,,,,
15-09,Carga PM,36,24,166,22,30,40,20,10,,,,,,,,,,,,,
16-09,Carga PM,130,36,,,,,,30,,,16,,,,,,,,,,
23-09,Carga PM ,210,60,34,,2,,,,,,,,,,,,,,,,
24-09,Elias,,,-60,,,,,,,,,,,,,,,,,,
16-09,Marilyn ,,,-12,,,,,,,,,,,,,,,,,,
26-09,Carga PM,210,48,,,,,8,19,,,,,,,,,,,,,
01-10,Carga PM,97,26,30,25,120,60,,10,10,12,,,,,,,,,,,
06-10,Regina,,,,,,,-10,,,,,,,,,,,,,,
07-10,Carga PM ,200,59,-1,12,57,20,,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
15-12-24,Carga PM,270,72,48,,20,,,-1,10,,-1,Me cabían como 70 kg más,,,,,,,,,
19-12-24,Carga PM,130,60,48,10,,40,30,30,10,,,20,5,5,5,5,,,,,
22-12-24,Carga PM,90,36,12,12,,80,,,,,,,5,,,,,,,,
27-12-24,Carga AM,96,,,12,20,,,10,,12,,,,,,,,,,,
07-01-2025,Carga PM ,220,24,12,12,4,40,8,,10,,,,,,,,,,,,
16-01-25,Carga PM ,207,24,12,,28,20,19,30,5,2,,9,,,5,5,,,,,
28-01-2025,Carga AM,138,12,,24,62,20,19,10,,,,,,,,,,,,,
10-02-2025,Carga PM ,220,48,24,24,50,20,20,20,1,-4,,,,,,,,,,,
20-02-2025,Carga PM,189,12,12,12,1,,20,19,12,12,16,,5,5,4,12,5,2,5,5,5
27-12-2025,Carga PM ,205,48,,,,20,10,15,2,,,,,,,,,3,,,
06-03-2025,Carga PM,149,72,48,36,39,30,20,20,5,,3,,,,,,2,,,3,
14-03-25,Carga PM ,210,22,10,24,40,30,8,,,,5,,,,,,2,,9,,
22-03-25,Carga PM ,70,12,12,12,60,20,9,8,5,2,,,,,2,,,,,,
28-03-25,Carga PM ,150,36,24,,30,40,10,,,,,,7,,7,1,,,,,,,
04-04-25,Carga AM ,20,24,12,12,30,,,,,,5,,,,,,,,,4,
12-04-25,Carga AM ,120,12,60,12,,30,20,20,,,,,,6,,,10,15,25,2,4,Caben 40 kg más 
12-04-25,Arreglo,,,,1,,,,-2,-1,,,,-1,1,,,,,,-1,
25-04-25,Carga AM,230,61,48,2,62,10,,10,,,6,,2,,,,,,20,1,4
02-05-25,Carga AM ,230,45,2,,50,15,10,3,7,3,,,,,,,,,23,,
08-05-25,Carga AM ,209,36,,24,1,,,,,,,,,,,,,5,,,
15-05-25,Carga AM ,140,23,24,,40,50,10,10,,,,,2,2,,,,,,,
23-05-25,MIX,-2,-2,-2,-2,-1,8,,,,,,,,,,,,,,,
24-05-25,Carga AM ,160,48,,12,70,70,10,10,4,,,,,,,,,,,1,,Caben 20 kg más 
30-05-25,Arreglo Conce ,-1,,,,1,,,-1,,,,-1,1,,,,,,,,
04-06-25,Carga PM,200,60,36,24,20,40,10,,4,,,,6,4,3,,,9,15,,,Caben 10 kg más
10-06-25,Carga AM ,140,12,12,12,40,30,,,,4,,,,,,,,,,,
10-06-25,Regalo chú ,,,,,,,,,,-1,-1,,,,,,,,,,
13-06-25,Carga tardecita ,30,36,,,30,30,,,,2,,,,,,,,,15,,2
21-06-25,Carga AM ,200,72,12,12,67,30,10,10,4,,12,,3,3,3,,,,,4,
28-06-25,Carga AM ,203,45,12,,32,40,,10,2,3,,,,,,,,,15,,
03-07-25,Carga AM ,220,48,48,12,30,30,,,6,,,,,,,,,,,,,,
05/07/25,Carga AM ,218,22,7,9,44,48,9,2,7,3,,,4,2,4,2,,,,,
12/07/25,Carga AM,140,72,36,,50,70,19,20,,,,,1,,2,,,,,,
18/07/25,Carga AM,30,12,,12,24,,10,,,,,,2,1,1,,,,8,,,Lleve lo correspondiente y 32 kg más 
23/07/25,Carga PM ,160,72,11,13,36,40,10,,,4,,,5,2,3,,,,,,
31/07/25,Carga AM,160,48,,24,20,40,5,5,4,,,,,,,,,,,,
06-08-25,Carga AM ,190,21,12,,20,40,10,7,,2,,,1,1,,5,,,,,5
09-08-25,Carga AM ,190,71,12,22,55,21,,15,3,3,,,3,4,2,,,,12,,
18-08-25,Carga AM ,170,24,60,12,40,20,10,30,3,3,,,2,4,3,1,,,,,4
26-08-25,Carga AM ,190,60,60,12,50,20,,,5,2,,,,,,3,,,15,,5
29-08-25,Carga AM ,80,48,24,12,,30,10,10,1,,-1,,5,,15,,,,,,
04-09-25,Carga AM ,60,12,84,12,20,30,5,5,4,5,27,2,12,4,9,9,,,15,33,9
10-09-25,Carga AM ,60,24,84,12,40,10,10,,6,24,77,8,12,36,24,12,,,,,
11-09-25,Devolución SC,,,,,,,,,,,,,,,,-4,,,,,
12-09-25,Carga media 15:00,40,19,72,12,20,,15,15,,12,80,,15,,10,,,,,,,Me quedaron 6 cajas afuera de frutilla
15-09-25,Mix,-1,-1,-1,-1,,4,,,,,,,,,,,,,,,
15-09-2025,Carga PM,100,48,36,24,50,60,20,30,,3,16,3,,,,,,,,,,"Quedamos justos de espacio, segùn Edo yo podrìa haber guardado 10 kg màs"
16-09-25,Arreglo ,,,,,,,,,,-1,-4,-2,,,,,,,,,
18-09-2025,Carga AM ,179,34,,12,,20,10,10,,,,,,,,,,,,,
19-09-25,Pulpa Mariana ,,,,,,,,,,,,,-10,,-6,,,,,,
25-09-2025,Carga AM ,110,60,60,12,,20,,,,1,,,,,,,,,,,
01-10-2025,Carga AM,179,72,12,12,11,,10,,10,10,,5,10,10,,10,2,5,15,,
06-10-2025,Carga AM ,150,72,60,36,,,10,20,4,5,,,6,12,12,3,2,,,,
10-10-2025,Carga AM ,220,24,12,,20,30,,20,,1,,,2,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
